"Census.Tract","CES.3.0.Score","Total.Population","California.County","Hispanic....","White....","African.American....","Native.American....","Asian.American....","Other....","ZIP","Longitude","Latitude","Ozone","PM2.5","Diesel.PM","Drinking.Water","Pesticides","Tox..Release","Traffic","Cleanup.Sites","Groundwater.Threats","Haz..Waste","Imp..Water.Bodies","Solid.Waste","Pollution.Burden","Asthma","Low.Birth.Weight","Poverty","Unemployment"
6019001100,94.09,3174,"Fresno ",65.3,4.2,24.6,0.5,3.5,1.8,93706,-119.7816961,36.7096952,0.065,15.4,48.524,681.2,2.75,18551.95719,909.14,80.5,45.75,0.795,0,21.75,79.96,131.64,7.44,76.3,17.6
6071001600,90.68,6133,"San Bernardino",91.1,5.8,0.7,0.3,1.4,0.7,91761,-117.6180131,34.0577805,0.062,13.31,38.556,904.66,1.37,7494.236622,782.26,66.2,36,1.25,5,12,81.19,60.66,7.04,72.5,12.3
6019000200,85.97,3167,"Fresno ",63.6,5.3,18.9,0.6,9.8,1.8,93706,-119.8055044,36.7354914,0.062,15.4,47.445,681.2,3.03,12454.94841,576.52,22,30.25,0.2,0,2.5,71.16,142.12,10.16,86.8,16.1
6077000801,82.49,6692,"San Joaquin",57.4,6,12.5,0.3,20.9,2.8,95203,-121.3145235,37.9405169,0.046,12.54,24.117,278.76,12.93,2387.782922,1305.01,50.1,132.1,0.795,19,27,74.48,142.17,6.23,61.3,19.6
6019001500,82.03,2206,"Fresno ",71.8,21.4,1.2,0.5,4.5,0.6,93725,-119.7178427,36.6816,0.065,15.4,18.846,1000.24,3518.41,21790.70672,435.16,60,54.2,13.1,0,50.8,80.2,90.48,4.5,66.4,18.6
6037204920,80.73,2598,"Los Angeles",98.1,1.2,0.1,0.1,0.2,0.3,90023,-118.1974975,34.0175004,0.046,12.89,56.52,714.48,0,39040.17995,2943.44,36.7,25,4.93,7,3.85,76.73,68.74,7.35,66.4,11.6
6077000300,80.18,2396,"San Joaquin",51.8,16.4,16.4,1.3,9.9,4.1,95203,-121.3020724,37.952421,0.046,13.44,21.76,278.76,172.49,707.5361575,885.52,89.7,149.05,0.135,14,2.3,68.27,169.56,8.36,76.2,14.4
6019001000,80.13,4106,"Fresno ",52.7,2.7,28.7,0.4,14.3,1.2,93706,-119.804314,36.6977507,0.065,15.4,20.848,788.02,1435.93,6996.962409,243.54,15.45,20,0,0,10,66.88,142.28,7.83,74.5,20
6037206050,79.03,2146,"Los Angeles",79.3,8.9,4.1,0.1,7.2,0.5,90023,-118.2244531,34.0299036,0.046,12.89,53.958,664.07,0,10378.23648,2810.82,36.05,16.25,10.025,7,22.1,77.09,58.03,6.71,75.7,28.5
6019000400,78.53,6343,"Fresno ",78,9.1,5.8,0.8,5.3,0.9,93721,-119.7762091,36.7276563,0.065,15.4,54.356,681.2,114.96,125383.892,815.36,15.95,13.5,0.755,0,0.5,73.89,107.8,4.79,83.4,23.5
